n,NN,2-Opt,GRASP
10,0.0,0.0,0.034037113189697266
25,0.0,0.0008928775787353516,0.02370476722717285
50,0.00018183390299479166,0.0011164347330729167,0.056052049001057945
100,0.0005024274190266927,0.005096038182576497,0.25585222244262695
200,0.0018641948699951172,0.023365020751953125,1.0472753842671711
500,0.0095369021097819,0.20931434631347656,4.12019681930542
